Pitch: 266.20, MIDI Note: C4
Pitch: 396.55, MIDI Note: G4
Pitch: 445.11, MIDI Note: A4
Pitch: 396.55, MIDI Note: G4
Pitch: 355.33, MIDI Note: F4
Pitch: 335.39, MIDI Note: E4
Pitch: 335.39, MIDI Note: E4
Pitch: 298.80, MIDI Note: D4
Pitch: 267.74, MIDI Note: C4
Pitch: 396.55, MIDI Note: G4
Pitch: 355.33, MIDI Note: F4
Pitch: 355.33, MIDI Note: F4
Pitch: 335.39, MIDI Note: E4
Pitch: 298.80, MIDI Note: D4
Pitch: 396.55, MIDI Note: G4
Pitch: 355.33, MIDI Note: F4
Pitch: 335.39, MIDI Note: E4
Pitch: 335.39, MIDI Note: E4
Pitch: 298.80, MIDI Note: D4
Pitch: 267.74, MIDI Note: C4
Pitch: 396.55, MIDI Note: G4
Pitch: 442.55, MIDI Note: A4
Pitch: 396.55, MIDI Note: G4
Pitch: 355.33, MIDI Note: F4
Pitch: 355.33, MIDI Note: F4
Pitch: 335.39, MIDI Note: E4
Pitch: 298.80, MIDI Note: D4
Pitch: 267.74, MIDI Note: C4
